lexeme	part_of_speech
bbe,ADP
oitem,PRON
transgender,DET
thruout,ADP
thethethethe,DET
kjb,ADP
gonna,PRT
tomato,PRT
alfalfa,DET
ofofofof,ADP
ylt,PRON
website,PRON
phonon,ADP
thuringiensis,ADP
afp,ADP
annja,DET
andandandand,CONJ
anand,CONJ
tendon,ADP
isbn,ADP
andand,CONJ
meself,PRON
pyr,ADP
ref,PRT
yerself,PRON
thethethethethe,DET
allograft,DET
nafta,DET
thaliana,DET
actinomycin,ADP
thymus,ADP
inhalation,ADP
inininin,ADP
atop,ADP
aerosol,DET
lsbn,ADP
wurde,ADP
oikos,ADP
mainland,CONJ
foer,ADP
avg,ADP
andandandandand,CONJ
totototo,PRT
lnc,ADP
magneto,DET
dut,PRON
internationale,ADP
argon,ADP
abstr,ADP
allozyme,DET
abdomen,ADP
nays,ADP
alfa,DET
lifestyle,ADP
annexure,DET
ofarticle,ADP
atubangan,ADP
issn,ADP
subhead,CONJ
queer,CONJ
inyong,ADP
meperidine,PRON
thereunder,PRON
howard,PRT
upto,DET
astronuclear,ADP
apolipoprotein,ADP
antiaircraft,DET
windfall,ADP
oltem,PRON
rainwater,PRT
belarus,ADP
quintile,ADP
listener,ADP
wideband,ADP
variance,ADP
agglutinin,ADP
algae,DET
azithromycin,ADP
almond,CONJ
socioecon,ADP
ofafrican,ADP
fofr,ADP
lnterior,ADP
together,PRT
paar,CONJ
bovine,DET
decr,ADP
tototototo,PRT
amorphous,ADP
bisan,ADP
youse,PRON
messy,PRON
ayon,ADP
uplink,ADP
ibabaw,ADP
kangaroo,DET
anhydrite,DET
ininininin,ADP
twee,DET
xix,CONJ
ihren,ADP
interquartile,ADP
mindfulness,CONJ
ngadto,ADP
noaa,DET
ofjapanese,ADP
alayhi,DET
itititit,PRON
bestseller,ADP
annosus,CONJ
nonemployer,CONJ
ihm,ADP
itjust,PRON
xxx,PRON
telehealth,DET
airbome,DET
lnst,ADP
thermoluminescence,DET
nephron,ADP
lcaho,ADP
americanus,ADP
withwithwithwith,ADP
ofvarious,ADP
ofcourse,ADP
insrt,ADP
inbound,ADP
fuer,ADP
torpedo,DET
nietzsche,DET
withwith,ADP
lllus,ADP
dgn,ADP
overview,ADP
bybybyby,ADP
testis,PRON
instn,ADP
erlenmeyer,DET
additive,DET
instill,ADP
medroxyprogesterone,PRON
andlor,CONJ
wirst,ADP
browse,ADP
itelocke,PRON
ofwhite,ADP
tsp,ADP
alpaca,DET
ofwhere,ADP
lilith,ADP
cyclin,ADP
thatthatthatthat,DET
wantto,PRT
anubhava,DET
anode,DET
typedef,ADP
nyasaland,CONJ
lce,ADP
lndex,ADP
thiotepa,DET
tha,PRON
savor,ADP
percentin,ADP
iodin,ADP
ullamcorper,ADP
accelerometer,ADP
immunoglobulin,ADP
lraq,ADP
candida,DET
moot,PRON
volutpat,CONJ
rapper,ADP
accomplice,DET
ofstatefor,ADP
softcover,ADP
bedside,ADP
persistence,ADP
mc,CONJ
ujamaa,DET
vivo,PRON
thumbnail,DET
linux,ADP
iyang,ADP
throughput,PRON
wieder,ADP
outbound,ADP
cassava,DET
spore,DET
instream,ADP
derfor,ADP
thankyou,PRON
botulinus,CONJ
ofjob,ADP
meinem,PRON
algebra,ADP
ofbehavior,ADP
meropenem,PRON
thisthisthisthis,DET
anaphora,DET
natn,ADP
mula,DET
ofsocial,ADP
lcon,ADP
excel,DET
nonfall,DET
thionyl,DET
iterator,PRON
methadone,PRON
zoey,PRON
bachelor,CONJ
influenzae,ADP
lut,DET
abn,ADP
throughfall,DET
lowand,CONJ
animalsl,DET
varus,ADP
leif,PRON
usedfor,ADP
ifwe,ADP
abortus,ADP
theytheytheythey,PRON
bedouin,ADP
lowstand,CONJ
tryingto,PRT
min,CONJ
thermophila,DET
interf,ADP
bertolt,ADP
indicus,ADP
alang,ADP
ofloss,ADP
pucca,DET
anderen,CONJ
antivirus,CONJ
rea,PRON
alongwith,DET
analysand,CONJ
alebo,DET
sinh,ADP
diag,ADP
sesame,DET
butbutbutbut,CONJ
threonine,PRON
ahead,PRT
inhibin,ADP
positron,ADP
landsat,ADP
byte,ADP
ofengland,CONJ
boll,DET
halfofthe,DET
indepth,ADP
blll,DET
deuteron,ADP
anorher,DET
betwn,ADP
percentile,ADP
salient,DET
wingspan,ADP
iteration,ADP
hvor,CONJ
horseback,PRT
depict,PRT
asaignor,ADP
annot,CONJ
ofjuvenile,ADP
aureus,CONJ
itemset,PRON
lndoor,ADP
slo,DET
ofpain,ADP
lup,ADP
mono,DET
aerodrome,DET
apartfrom,ADP
aero,DET
isbasedon,ADP
thrombosis,ADP
lvan,ADP
thethethe,DET
absinthe,DET
adventuresome,DET
aaaignor,ADP
behind,PRT
after,ADP
thermodynamic,PRON
otitis,PRON
ifthere,PRON
vasopressor,ADP
whereafter,ADP
meriem,PRON
youyou,PRON
inyo,ADP
java,DET
ofvitamin,ADP
thailand,CONJ
thesauri,PRON
menarche,DET
withwithwithwithwith,ADP
agmt,DET
quartile,ADP
knockout,ADP
temporomandibular,ADP
lccn,ADP
aside,PRT
artif,ADP
trout,PRT
amplify,ADP
pero,ADP
nand,CONJ
abscissa,DET
odpovedal,ADP
tomto,PRT
armistice,DET
allemande,DET
isosorbide,PRON
fucr,ADP
theologia,DET
aquella,DET
aaaaa,DET
btwn,CONJ
methylene,PRON
allyl,DET
winemaker,ADP
andalusite,DET
outof,ADP
angina,DET
ofjudicial,ADP
ackn,ADP
symbof,ADP
